Time[sec],Vel_L[cm/sec],Vel_R[cm/sec],XPos[cm/sec],YPos[cm/sec],Ori[Deg]
0,0,0,0,0,0
0.333,2.827433,2.827433,0,0,0
0.666,5.654867,8.4823,0.941535,0,0
0.999,11.309734,11.309734,3.295374,0,1.17274
1.332,11.309734,14.137167,7.060726,0.077081,1.17274
1.665,14.137167,14.137167,11.296747,0.163796,2.345479
1.998,16.9646,14.137167,16.00048,0.356457,2.345479
2.331,14.137167,11.309734,21.174586,0.568385,1.17274
2.664,14.137167,14.137167,25.410607,0.6551,0
2.997,11.309734,16.9646,30.118284,0.6551,0
3.33,11.309734,14.137167,34.825961,0.6551,2.345479
3.663,14.137167,11.309734,39.05932,0.828495,3.518219
3.996,14.137167,16.9646,43.288244,1.088497,2.345479
4.329,14.137167,14.137167,48.46235,1.300424,3.518219
4.662,16.9646,16.9646,53.161154,1.589315,3.518219
4.995,16.9646,16.9646,58.799719,1.935984,3.518219
5.328,19.792034,16.9646,64.438284,2.282653,3.518219
5.661,19.792034,19.792034,70.546729,2.658211,2.345479
5.994,16.9646,16.9646,77.131955,2.927937,2.345479
6.327,16.9646,16.9646,82.776434,3.15913,2.345479
6.66,16.9646,16.9646,88.420913,3.390323,2.345479
6.993,16.9646,16.9646,94.065393,3.621517,2.345479
7.326,19.792034,19.792034,99.709872,3.85271,2.345479
7.659,19.792034,19.792034,106.295097,4.122436,2.345479
7.992,19.792034,22.619467,112.880323,4.392161,2.345479
8.325,19.792034,19.792034,119.935922,4.681153,3.518219
8.658,16.9646,16.9646,126.514248,5.0856,3.518219
8.991,16.9646,16.9646,132.152813,5.432269,3.518219
9.324,14.137167,16.9646,137.791378,5.778938,3.518219
9.657,39.584067,39.584067,142.960063,6.096718,4.690958
9.99,22.619467,19.792034,156.097403,7.174716,4.690958
10.323,19.792034,19.792034,163.135264,7.752215,3.518219
10.656,19.792034,16.9646,169.71359,8.156662,3.518219
10.989,19.792034,16.9646,175.822035,8.53222,2.345479
11.322,16.9646,16.9646,181.936888,8.78268,1.17274
11.655,19.792034,19.792034,187.584916,8.898301,1.17274
11.988,16.9646,19.792034,194.174283,9.033192,1.17274
12.321,19.792034,22.619467,200.292981,9.158448,2.345479
12.654,16.9646,19.792034,207.34858,9.44744,3.518219
12.987,19.792034,19.792034,213.457025,9.822998,4.690958
13.32,16.9646,16.9646,220.025695,10.361997,4.690958
13.653,16.9646,16.9646,225.655984,10.823996,4.690958
13.986,14.137167,16.9646,231.286273,11.285995,4.690958
14.319,19.792034,16.9646,236.447371,11.709495,5.863698
14.652,14.137167,14.137167,242.535329,12.334726,4.690958
14.985,16.9646,11.309734,247.227237,12.719725,4.690958
15.318,14.137167,11.309734,251.919144,13.104725,2.345479
15.651,14.137167,11.309734,256.152503,13.27812,1.17274
15.984,14.137167,14.137167,260.388525,13.364835,0
16.317,14.137167,16.9646,265.096201,13.364835,0
16.65,14.137167,14.137167,270.274646,13.364835,1.17274
16.983,14.137167,14.137167,274.981336,13.461186,1.17274
17.316,11.309734,14.137167,279.688027,13.557537,1.17274
17.649,8.4823,11.309734,283.924048,13.644252,2.345479
17.982,5.654867,5.654867,287.216661,13.779115,3.518219
18.315,11.309734,8.4823,289.096183,13.894672,3.518219
18.648,11.309734,11.309734,292.385346,14.096895,2.345479
18.981,25.4469,25.4469,296.148332,14.251024,2.345479
19.314,11.309734,11.309734,304.61505,14.597814,2.345479
19.647,11.309734,11.309734,308.378036,14.751943,2.345479
19.98,11.309734,5.654867,312.141023,14.906072,2.345479
20.313,16.9646,-2.827433,314.963262,15.021668,0
20.646,50.893801,-36.756634,317.3171,15.021668,-8.209177
20.979,25.4469,-28.274334,319.64682,14.68557,-44.564103
21.312,19.792034,-25.4469,319.311414,15.015911,-66.846154
21.645,0,0,318.941201,15.881608,-85.609987
